"Start","End","Service","Amount","Unit"
"2025-07-01","2025-08-01","Amazon Redshift","2620.790810318","USD"
"2025-07-01","2025-08-01","Amazon Relational Database Service","3011.5498384811","USD"
"2025-07-01","2025-08-01","Amazon Route 53","1.5029972","USD"
"2025-07-01","2025-08-01","Amazon SageMaker","350.0834700082","USD"
"2025-07-01","2025-08-01","Amazon Simple Notification Service","22.8895747064","USD"
"2025-07-01","2025-08-01","Amazon Simple Queue Service","66.3770744246","USD"
"2025-07-01","2025-08-01","Amazon Simple Storage Service","2662.8682097829","USD"
"2025-07-01","2025-08-01","Amazon Virtual Private Cloud","1231.6577817865","USD"
"2025-07-01","2025-08-01","AmazonCloudWatch","889.0530452842","USD"
"2025-07-01","2025-08-01","CloudWatch Events","0.007348","USD"
"2025-07-01","2025-08-01","CodeBuild","23.73","USD"
"2025-07-01","2025-08-01","Tax","2512.41","USD"
"2025-08-01","2025-09-01","AWS Amplify","0.2940474664","USD"
"2025-08-01","2025-09-01","AWS CloudFormation","0","USD"
"2025-08-01","2025-09-01","AWS CloudTrail","83.501138","USD"
"2025-08-01","2025-09-01","AWS CodeArtifact","0","USD"
"2025-08-01","2025-09-01","AWS Config","63.792","USD"
"2025-08-01","2025-09-01","AWS Data Pipeline","12.987903018","USD"
"2025-08-01","2025-09-01","AWS Global Accelerator","77.9231569523","USD"
"2025-08-01","2025-09-01","AWS Glue","1333.57904196","USD"
"2025-08-01","2025-09-01","AWS Key Management Service","4.32123649","USD"
"2025-08-01","2025-09-01","AWS Lambda","81.0742295529","USD"
"2025-08-01","2025-09-01","AWS Secrets Manager","19.5823796928","USD"
"2025-08-01","2025-09-01","AWS Security Hub","70.612","USD"
"2025-08-01","2025-09-01","AWS Step Functions","5.5459314191","USD"
"2025-08-01","2025-09-01","AWS Support (Business)","786.0061398621","USD"
"2025-08-01","2025-09-01","AWS X-Ray","0.809735","USD"
"2025-08-01","2025-09-01","Amazon API Gateway","70.8539179549","USD"
"2025-08-01","2025-09-01","Amazon Athena","0.06125","USD"
"2025-08-01","2025-09-01","Amazon CloudFront","0.0013462724","USD"
"2025-08-01","2025-09-01","Amazon Cognito","677.41425","USD"
"2025-08-01","2025-09-01","Amazon DynamoDB","1.16064","USD"
"2025-08-01","2025-09-01","Amazon EC2 Container Registry (ECR)","12.4162444722","USD"
"2025-08-01","2025-09-01","EC2 - Other","1150.8301597594","USD"
"2025-08-01","2025-09-01","Amazon Elastic Compute Cloud - Compute","1228.428109361","USD"
"2025-08-01","2025-09-01","Amazon Elastic Container Service","226.5386707302","USD"
"2025-08-01","2025-09-01","Amazon Elastic File System","0.3889159095","USD"
"2025-08-01","2025-09-01","Amazon Elastic Load Balancing","438.6069001764","USD"
"2025-08-01","2025-09-01","Amazon GuardDuty","5.9669344808","USD"
"2025-08-01","2025-09-01","Amazon Kinesis","126.4800021069","USD"
"2025-08-01","2025-09-01","Amazon Kinesis Firehose","0.0626586793","USD"
"2025-08-01","2025-09-01","Amazon Lightsail","26.6100946865","USD"
"2025-08-01","2025-09-01","Amazon Location Service","0.000777","USD"
"2025-08-01","2025-09-01","Amazon OpenSearch Service","179.7461014136","USD"
"2025-08-01","2025-09-01","Amazon Redshift","2635.3557806","USD"
"2025-08-01","2025-09-01","Amazon Relational Database Service","3006.4221879635","USD"
"2025-08-01","2025-09-01","Amazon Route 53","1.5027724","USD"
"2025-08-01","2025-09-01","Amazon SageMaker","251.7401496638","USD"
"2025-08-01","2025-09-01","Amazon Simple Notification Service","17.3399961797","USD"
"2025-08-01","2025-09-01","Amazon Simple Queue Service","52.230339654","USD"
"2025-08-01","2025-09-01","Amazon Simple Storage Service","2501.0123423407","USD"
"2025-08-01","2025-09-01","Amazon Virtual Private Cloud","1233.0566696497","USD"
"2025-08-01","2025-09-01","AmazonCloudWatch","196.3699793625","USD"
"2025-08-01","2025-09-01","CloudWatch Events","0.005903","USD"
"2025-08-01","2025-09-01","CodeBuild","9.755","USD"
"2025-08-01","2025-09-01","Tax","2294.53","USD"
"2025-09-01","2025-10-01","AWS Amplify","0.3133008468","USD"
